﻿﻿"lang"
{
	"Language"		"English"
	"Tokens"
	{
		"addon_game_name"								"Definitely Not Dota 2.0"
		"DOTA_GameMode_15"													"Definitely Not Dota 2.0"

		"cosemtics_header_abilities"								"Abilities"
		"cosemtics_header_effects"									"Effects"
		"cosemtics_header_kill_effects"								"Kill effects"
		"cosemtics_header_pets"										"Pets"

		"cosmetics_save_settings"									"Save settings"

		"cosemtics_effects_header_hero"								"Hero"
		"cosemtics_effects_header_pet"								"Pet"
		"cosemtics_effects_header_courier"							"Courier"
		"cosemtics_effects_header_wards"							"Wards"

		"cosmetics_kill_effect_firework"							"Firework"
		"cosmetics_kill_effect_tombstone"							"Tombstone"
		"cosmetics_kill_effect_incineration"						"Incineration"
		"cosmetics_kill_effect_halloween"							"Halloween"

		"new_stat_gpm"												"GPM"
		"new_stat_total_damage"										"Total damage"
		"new_stat_total_healing"									"Total healing"
		"new_stat_tower_damage"										"Building damage"
		"new_stat_networth"											"Networth"
		"new_stat_wards"											"Wards sentries/obsrvrs"
		"new_stat_killed_heroes"									"Killed enemies"

		"time_extended"												"The Score to win has been increased by 2 and the time has been increased by 30 seconds!"

		"random_unlimited"											"Unlimited Random"
		"random_unlimited_description"								"Unlock unlimited use of smart random button!"

		"cosmetics_box"												"Cosmetics box"
		"cosmetics_box_description"									"Use cosmetic abilities, add one of 21 effects for your hero, wards, courier or pet, effect when you kill and select pet"

		"unlimited_chat_wheel"										"Unlimited chat wheel"
		"unlimited_chat_wheel_description"							"Use the chat wheel (L) without limits"

		"instant_transfer"											"Instant item transfer"
		"instant_transfer_description"								"Transfer items to players instantly wherever they are"

		"immune_kick_troll"											"Kick Troll Immunity"
		"immune_kick_troll_description"								"Become immune to the Kick Troll"

		"kick_troll"												"Kick Troll"
		"kick_troll_description"									"Kick Trolls! Have access to kick allies that are trolling (WARNING: This perk will be removed from supporters that are found to be abusing it)"

		"high_tier_supporter_perk"									"Hi-tier supporter (25$) feature only"
		"available_perk"											"Available"

		"not_supporter"												"You are not supporter"
		"standard_tier_supporter"									"You are standart tier supporter"
		"high_tier_supporter"										"You are high tier supporter"
		"thanks_for_supporting"										"Thank you for supporting us!"

		"item_choice_header"										"Choose an item!"

		"pre_battleground_victory"									""
		"post_battleground_victory"									" wins!"

		"battleground_countdown_30"									"Game will be starting in 30 seconds!"
		"battleground_countdown_20"									"Game will be starting in 20 seconds!"
		"battleground_countdown_10"									"Game will be starting in 10 seconds!"
		"battleground_countdown_5"									"5 seconds!"
		"battleground_countdown_3"									"3..."
		"battleground_countdown_2"									"2..."
		"battleground_countdown_1"									"1..."
		"battleground_countdown_start"								"Game starting!"
		
		"mute_all_hint"												"Mute All"

		"DOTA_Tooltip_modifier_get_xp"					"Golden Aura"
		"DOTA_Tooltip_modifier_get_xp_Description"		"Gaining more gold and experience!"

		"DOTA_Tooltip_modifier_get_xp_late_bonus"					"Golden Aura"
		"DOTA_Tooltip_modifier_get_xp_late_bonus_Description"		"Gaining more gold and experience!"

		"DOTA_Tooltip_modifier_get_xp_global"					"Global Aura"
		"DOTA_Tooltip_modifier_get_xp_global_Description"		"Gaining gold and experience"
		"DOTA_Tooltip_modifier_get_xp_core_global"					"Global Aura"
		"DOTA_Tooltip_modifier_get_xp_core_global_Description"		"Gaining gold and experience"

		"DOTA_Tooltip_modifier_fountain_aura_effect_lua"					"Fountain Aura"
		"DOTA_Tooltip_modifier_fountain_aura_effect_lua_Description"		"Healing"

		"DOTA_Tooltip_modifier_core_spawn_movespeed"						"Spawn Bonus"
		"DOTA_Tooltip_modifier_core_spawn_movespeed_Description"			"Movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT%."

		"DOTA_Tooltip_ability_item_bag_of_gold"			"300 Gold"
		"DOTA_Tooltip_ability_item_treasure_chest"		"Treasure Chest"
		"DOTA_Tooltip_ability_item_center_chest"		"Treasure Chest"
		"DOTA_Tooltip_ability_item_core_pumpkin"		"Pumpkin"
		"DOTA_Tooltip_modifier_core_pumpkin_regeneration"		"Pumpkin Regeneration"
		"DOTA_Tooltip_modifier_core_pumpkin_regeneration_Description"		"Regenerates %dMODIFIER_PROPERTY_HEALTH_REGEN_PERCENTAGE%%% health and %dMODIFIER_PROPERTY_MANA_REGEN_TOTAL_PERCENTAGE%%% mana per second."


		"DOTA_Tooltip_modifier_disconnect_invulnerable"			"Invulnerable"

		"DOTA_Tooltip_ability_item_helm_of_the_dominator_custom"						"Helm of the Dominator (Modified)"
		"DOTA_Tooltip_ability_item_helm_of_the_dominator_custom_Description"			"<h1>Active: Dominate</h1>Takes control of one target unit or creates a random neutral unit and sets its movement speed to %speed_base% and max health to a minimum of %health_min%.<br><br>Dominated units with a max health of greater than %health_min% retain their original max health.  Dominated unit's bounty is set to %gold_bounty% gold.<br><br>Range: %tooltip_range%\n<h1>Passive: Dominator Aura</h1> Increases nearby allies' attack speed by %attack_speed_aura% and health regen by %hp_regen_aura%.<br><br>Radius: %aura_radius%\n\n<font color='#70EA72'>In Overthrow, Helm of the Dominator can be cast on the ground to summon a random neutral creep.</font"
		"DOTA_Tooltip_ability_item_helm_of_the_dominator_custom_Lore"					"The powerful headpiece of a dead necromancer."
		"DOTA_Tooltip_ability_item_helm_of_the_dominator_custom_Note0"					"Cannot dominate more than one unit at a time.  If a new unit is dominated, the old one will die."
		"DOTA_Tooltip_ability_item_helm_of_the_dominator_custom_Note1"					"Selling Helm of the Dominator will cause dominated units to die."
		"DOTA_Tooltip_ability_item_helm_of_the_dominator_custom_bonus_stats"			"+$all"
		"DOTA_Tooltip_modifier_item_helm_of_the_dominator_custom_aura"					"Helm of the Dominator Aura"
		"DOTA_Tooltip_modifier_item_helm_of_the_dominator_custom_aura_Description"		"Increases health regen by %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% and attack speed by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

		"DOTA_Tooltip_ability_item_hand_of_midas_custom"						"Hand of Midas (Modified)"
		"DOTA_Tooltip_ability_item_hand_of_midas_custom_Description"			"<h1>Active: Transmute</h1> Takes all coins in a %aoe_radius% radius around selected point and gives gold and %xp_per_coin% experience for each of them. <br><br>Range: %transmute_cast_range_tooltip%\n\n<font color='#70EA72'>In Overthrow, Hand of Midas gains Area Of Effect targeting and can collect gold coins from a distance, gold coins collected in this way reward bonus experience.</font"
		"DOTA_Tooltip_ability_item_hand_of_midas_custom_Lore"					"Preserved through unknown magical means, the Hand of Midas is a weapon of greed, sacrificing animals to line the owner's pockets."
		"DOTA_Tooltip_ability_item_hand_of_midas_custom_Note0"					"Experience gained by using Transmute is not shared."
		"DOTA_Tooltip_ability_item_hand_of_midas_custom_bonus_attack_speed"		"+$attack"

		"DOTA_Tooltip_modifier_invis_revealed"									"True Sight"
		"DOTA_Tooltip_modifier_invis_revealed_Description"						"Being near the treasure slot reveals you to nearby players"	

//=================================================================================================================
// 	Neutral Items
//==============================================================================================================
		"DOTA_Tooltip_Ability_item_ambient_sorcery"								"Ambient Sorcery"
		"DOTA_Tooltip_Ability_item_ambient_sorcery_Description"					"<h1>Passive: Ambient Sorcery</h1>Reduces nearby units' magic resistance by %aura_magic_reduction%%."
		"DOTA_Tooltip_ability_item_ambient_sorcery_Lore"						"A glowing orb stolen from an arcanist's tower."
		"DOTA_Tooltip_Ability_item_ambient_sorcery_bonus_intelligence"			"+$int"
		"DOTA_Tooltip_modifier_item_ambient_sorcery_effect"						"Ambient Sorcery"
		"DOTA_Tooltip_modifier_item_ambient_sorcery_effect_Description"			"This unit is more vulnerable to magic damage."

		"DOTA_Tooltip_Ability_item_bear_cloak"								"Cloak of the Bear"
		"DOTA_Tooltip_Ability_item_bear_cloak_Description"					"<h1>Aura: Rough Bearskin</h1>Provides %aura_bonus_magic_resist%%  bonus magic resistance to nearby allies."
		"DOTA_Tooltip_ability_item_bear_cloak_Lore"							"There's no shortage of natural armor in the wild."
		"DOTA_Tooltip_Ability_item_bear_cloak_bonus_magic_resist"			"SELF BONUS MAGIC RESIST:"

		"DOTA_Tooltip_modifier_item_bear_cloak_effect"						"Rough Bearskin"
		"DOTA_Tooltip_modifier_item_bear_cloak_effect_Description"			"This unit has bonus magic resistance."

		"DOTA_Tooltip_ability_item_bogduggs_cudgel"							"Bogdugg's Cudgel"
		"DOTA_Tooltip_ability_item_bogduggs_cudgel_Description"				"<h1>Passive: Smash</h1>MELEE ONLY - All attack speed is halved, but attacks deal splash damage in a %damage_radius% area around the target.\n"
